"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"01","Alabama","01099","Monroe","2019","23.6%","","(22.6% - 24.7%)","22.6%","24.7%",
"01","Alabama","01099","Monroe","2020","24.9%","","(23.8% - 26.1%)","23.8%","26.1%",
"01","Alabama","01099","Monroe","2021","22.6%","","(18.5% - 26.8%)","18.5%","26.8%",
"01","Alabama","01101","Montgomery","2019","20.9%","","(19.9% - 22.0%)","19.9%","22.0%",
"01","Alabama","01101","Montgomery","2020","22.2%","","(21.1% - 23.3%)","21.1%","23.3%",
"01","Alabama","01101","Montgomery","2021","19.3%","","(16.2% - 22.9%)","16.2%","22.9%",
"01","Alabama","01103","Morgan","2019","25.9%","","(24.7% - 27.2%)","24.7%","27.2%",
"01","Alabama","01103","Morgan","2020","26.7%","","(25.5% - 28.1%)","25.5%","28.1%",
"01","Alabama","01103","Morgan","2021","24.2%","","(20.6% - 28.2%)","20.6%","28.2%",
"01","Alabama","01105","Perry","2019","23.7%","","(22.5% - 25.0%)","22.5%","25.0%",
"01","Alabama","01105","Perry","2020","25.1%","","(23.9% - 26.5%)","23.9%","26.5%",
"01","Alabama","01105","Perry","2021","22.3%","","(18.3% - 26.9%)","18.3%","26.9%",
"01","Alabama","01107","Pickens","2019","25.0%","","(24.0% - 26.1%)","24.0%","26.1%",
"01","Alabama","01107","Pickens","2020","25.1%","","(24.0% - 26.2%)","24.0%","26.2%",
"01","Alabama","01107","Pickens","2021","22.6%","","(18.7% - 27.1%)","18.7%","27.1%",
"01","Alabama","01109","Pike","2019","25.4%","","(24.3% - 26.6%)","24.3%","26.6%",
"01","Alabama","01109","Pike","2020","24.0%","","(22.9% - 25.1%)","22.9%","25.1%",
"01","Alabama","01109","Pike","2021","21.8%","","(18.2% - 25.9%)","18.2%","25.9%",
"01","Alabama","01111","Randolph","2019","26.1%","","(24.8% - 27.6%)","24.8%","27.6%",
"01","Alabama","01111","Randolph","2020","26.1%","","(24.7% - 27.5%)","24.7%","27.5%",
"01","Alabama","01111","Randolph","2021","24.3%","","(20.0% - 29.1%)","20.0%","29.1%",
"01","Alabama","01113","Russell","2019","24.2%","","(23.2% - 25.2%)","23.2%","25.2%",
"01","Alabama","01113","Russell","2020","24.8%","","(23.7% - 25.8%)","23.7%","25.8%",
"01","Alabama","01113","Russell","2021","23.4%","","(19.4% - 27.9%)","19.4%","27.9%",
"01","Alabama","01117","Shelby","2019","22.6%","","(21.4% - 23.8%)","21.4%","23.8%",
"01","Alabama","01117","Shelby","2020","23.9%","","(22.6% - 25.3%)","22.6%","25.3%",
"01","Alabama","01117","Shelby","2021","21.7%","","(18.3% - 25.3%)","18.3%","25.3%",
"01","Alabama","01115","St. Clair","2019","27.6%","","(26.2% - 29.1%)","26.2%","29.1%",
"01","Alabama","01115","St. Clair","2020","27.0%","","(25.5% - 28.5%)","25.5%","28.5%",
"01","Alabama","01115","St. Clair","2021","24.0%","","(19.8% - 28.3%)","19.8%","28.3%",
"01","Alabama","01119","Sumter","2019","22.0%","","(20.8% - 23.1%)","20.8%","23.1%",
"01","Alabama","01119","Sumter","2020","23.6%","","(22.5% - 24.7%)","22.5%","24.7%",
"01","Alabama","01119","Sumter","2021","20.9%","","(17.2% - 25.0%)","17.2%","25.0%",
"01","Alabama","01121","Talladega","2019","25.9%","","(24.9% - 27.1%)","24.9%","27.1%",
"01","Alabama","01121","Talladega","2020","26.8%","","(25.6% - 28.0%)","25.6%","28.0%",
"01","Alabama","01121","Talladega","2021","23.2%","","(19.3% - 27.4%)","19.3%","27.4%",
"01","Alabama","01123","Tallapoosa","2019","26.1%","","(24.9% - 27.5%)","24.9%","27.5%",
"01","Alabama","01123","Tallapoosa","2020","26.3%","","(25.0% - 27.7%)","25.0%","27.7%",
"01","Alabama","01123","Tallapoosa","2021","23.7%","","(19.5% - 28.2%)","19.5%","28.2%",
"01","Alabama","01125","Tuscaloosa","2019","23.7%","","(22.7% - 24.8%)","22.7%","24.8%",
"01","Alabama","01125","Tuscaloosa","2020","24.3%","","(23.2% - 25.5%)","23.2%","25.5%",
"01","Alabama","01125","Tuscaloosa","2021","22.1%","","(18.7% - 25.5%)","18.7%","25.5%",
"01","Alabama","01127","Walker","2019","29.6%","","(28.1% - 31.1%)","28.1%","31.1%",
"01","Alabama","01127","Walker","2020","28.7%","","(27.2% - 30.1%)","27.2%","30.1%",
"01","Alabama","01127","Walker","2021","25.2%","","(21.0% - 29.6%)","21.0%","29.6%",
"01","Alabama","01129","Washington","2019","25.5%","","(24.4% - 26.6%)","24.4%","26.6%",
"01","Alabama","01129","Washington","2020","26.7%","","(25.5% - 27.8%)","25.5%","27.8%",
"01","Alabama","01129","Washington","2021","23.2%","","(19.3% - 27.7%)","19.3%","27.7%",
"01","Alabama","01131","Wilcox","2019","22.9%","","(21.7% - 24.1%)","21.7%","24.1%",
"01","Alabama","01131","Wilcox","2020","24.1%","","(22.9% - 25.4%)","22.9%","25.4%",
"01","Alabama","01131","Wilcox","2021","21.5%","","(17.7% - 26.2%)","17.7%","26.2%",
"01","Alabama","01133","Winston","2019","29.6%","","(27.9% - 31.2%)","27.9%","31.2%",
"01","Alabama","01133","Winston","2020","28.3%","","(26.4% - 30.1%)","26.4%","30.1%",
"01","Alabama","01133","Winston","2021","26.3%","","(21.6% - 31.3%)","21.6%","31.3%",
"02","Alaska","02013","Aleutians East","2019","11.7%","","(11.3% - 12.2%)","11.3%","12.2%",
"02","Alaska","02013","Aleutians East","2020","10.7%","","(10.3% - 11.2%)","10.3%","11.2%",
"02","Alaska","02013","Aleutians East","2021","13.1%","","(10.6% - 15.9%)","10.6%","15.9%",
"02","Alaska","02016","Aleutians West","2019","12.4%","","(12.0% - 12.9%)","12.0%","12.9%",
"02","Alaska","02016","Aleutians West","2020","11.3%","","(10.9% - 11.8%)","10.9%","11.8%",
"02","Alaska","02016","Aleutians West","2021","13.4%","","(11.1% - 16.5%)","11.1%","16.5%",
"02","Alaska","02020","Anchorage","2019","17.0%","","(16.2% - 17.7%)","16.2%","17.7%",
"02","Alaska","02020","Anchorage","2020","16.3%","","(15.6% - 17.1%)","15.6%","17.1%",
"02","Alaska","02020","Anchorage","2021","19.5%","","(17.1% - 22.1%)","17.1%","22.1%",
"02","Alaska","02050","Bethel","2019","20.5%","","(19.4% - 21.8%)","19.4%","21.8%",
"02","Alaska","02050","Bethel","2020","18.6%","","(17.5% - 19.8%)","17.5%","19.8%",
"02","Alaska","02050","Bethel","2021","21.2%","","(17.7% - 25.1%)","17.7%","25.1%",
"02","Alaska","02060","Bristol Bay","2019","18.6%","","(17.9% - 19.3%)","17.9%","19.3%",
"02","Alaska","02060","Bristol Bay","2020","17.0%","","(16.3% - 17.7%)","16.3%","17.7%",
"02","Alaska","02060","Bristol Bay","2021","18.8%","","(15.5% - 22.6%)","15.5%","22.6%",
"02","Alaska","02063","Chugach","2020","15.7%","","(15.0% - 16.6%)","15.0%","16.6%",
"02","Alaska","02063","Chugach","2021","20.1%","","(18.1% - 22.3%)","18.1%","22.3%",
"02","Alaska","02066","Copper River","2020","16.9%","","(16.0% - 17.7%)","16.0%","17.7%",
"02","Alaska","02066","Copper River","2021","20.0%","","(17.8% - 22.4%)","17.8%","22.4%",
"02","Alaska","02068","Denali","2019","17.3%","","(16.4% - 18.4%)","16.4%","18.4%",
"02","Alaska","02068","Denali","2020","16.2%","","(15.3% - 17.3%)","15.3%","17.3%",
"02","Alaska","02068","Denali","2021","19.9%","","(16.3% - 23.8%)","16.3%","23.8%",
"02","Alaska","02070","Dillingham","2019","19.3%","","(18.2% - 20.4%)","18.2%","20.4%",
"02","Alaska","02070","Dillingham","2020","17.8%","","(16.9% - 18.8%)","16.9%","18.8%",
"02","Alaska","02070","Dillingham","2021","20.3%","","(16.6% - 24.1%)","16.6%","24.1%",
"02","Alaska","02090","Fairbanks North Star","2019","18.7%","","(17.9% - 19.6%)","17.9%","19.6%",
"02","Alaska","02090","Fairbanks North Star","2020","17.0%","","(16.1% - 17.9%)","16.1%","17.9%",
"02","Alaska","02090","Fairbanks North Star","2021","19.5%","","(16.7% - 22.2%)","16.7%","22.2%",
"02","Alaska","02100","Haines","2019","18.0%","","(17.2% - 18.9%)","17.2%","18.9%",
"02","Alaska","02100","Haines","2020","17.2%","","(16.3% - 18.0%)","16.3%","18.0%",
"02","Alaska","02100","Haines","2021","21.8%","","(18.0% - 26.0%)","18.0%","26.0%",
"02","Alaska","02105","HOONAH-ANGOON CENSUS AREA","2019","18.7%","","(18.0% - 19.4%)","18.0%","19.4%",
"02","Alaska","02105","HOONAH-ANGOON CENSUS AREA","2020","17.7%","","(17.0% - 18.5%)","17.0%","18.5%",
"02","Alaska","02105","HOONAH-ANGOON CENSUS AREA","2021","20.4%","","(16.7% - 24.3%)","16.7%","24.3%",
"02","Alaska","02110","Juneau","2019","16.6%","","(15.7% - 17.4%)","15.7%","17.4%",
"02","Alaska","02110","Juneau","2020","17.1%","","(16.3% - 17.9%)","16.3%","17.9%",
"02","Alaska","02110","Juneau","2021","20.2%","","(17.1% - 23.4%)","17.1%","23.4%",
"02","Alaska","02122","Kenai Peninsula","2019","18.5%","","(17.5% - 19.5%)","17.5%","19.5%",
"02","Alaska","02122","Kenai Peninsula","2020","17.3%","","(16.4% - 18.3%)","16.4%","18.3%",
"02","Alaska","02122","Kenai Peninsula","2021","22.2%","","(18.8% - 25.4%)","18.8%","25.4%",
"02","Alaska","02130","Ketchikan Gateway","2019","18.1%","","(17.3% - 19.0%)","17.3%","19.0%",
"02","Alaska","02130","Ketchikan Gateway","2020","17.3%","","(16.5% - 18.1%)","16.5%","18.1%",
"02","Alaska","02130","Ketchikan Gateway","2021","19.9%","","(16.7% - 23.6%)","16.7%","23.6%",
"02","Alaska","02150","Kodiak Island","2019","15.4%","","(14.7% - 16.2%)","14.7%","16.2%",
"02","Alaska","02150","Kodiak Island","2020","14.2%","","(13.5% - 15.0%)","13.5%","15.0%",
"02","Alaska","02150","Kodiak Island","2021","16.0%","","(13.2% - 19.1%)","13.2%","19.1%",
"02","Alaska","02164","Lake and Peninsula","2019","19.8%","","(19.0% - 20.7%)","19.0%","20.7%",
"02","Alaska","02164","Lake and Peninsula","2020","17.9%","","(17.0% - 18.9%)","17.0%","18.9%",
"02","Alaska","02164","Lake and Peninsula","2021","20.7%","","(17.0% - 24.5%)","17.0%","24.5%",
"02","Alaska","02170","Matanuska-Susitna","2019","19.0%","","(18.0% - 19.9%)","18.0%","19.9%",
"02","Alaska","02170","Matanuska-Susitna","2020","18.4%","","(17.4% - 19.3%)","17.4%","19.3%",
"02","Alaska","02170","Matanuska-Susitna","2021","22.2%","","(19.3% - 25.3%)","19.3%","25.3%",
"02","Alaska","02180","Nome","2019","19.4%","","(18.3% - 20.5%)","18.3%","20.5%",
"02","Alaska","02180","Nome","2020","17.7%","","(16.8% - 18.8%)","16.8%","18.8%",
"02","Alaska","02180","Nome","2021","19.8%","","(16.3% - 23.6%)","16.3%","23.6%",
"02","Alaska","02185","North Slope","2019","17.4%","","(16.6% - 18.2%)","16.6%","18.2%",
"02","Alaska","02185","North Slope","2020","15.8%","","(15.1% - 16.6%)","15.1%","16.6%",
"02","Alaska","02185","North Slope","2021","17.5%","","(14.4% - 21.1%)","14.4%","21.1%",
"02","Alaska","02188","Northwest Arctic","2019","19.8%","","(18.8% - 20.9%)","18.8%","20.9%",
"02","Alaska","02188","Northwest Arctic","2020","18.4%","","(17.3% - 19.5%)","17.3%","19.5%",
"02","Alaska","02188","Northwest Arctic","2021","20.3%","","(16.7% - 24.5%)","16.7%","24.5%",
"02","Alaska","02195","PETERSBURG CENSUS AREA","2019","17.3%","","(16.4% - 18.2%)","16.4%","18.2%",
"02","Alaska","02195","PETERSBURG CENSUS AREA","2020","17.4%","","(16.4% - 18.3%)","16.4%","18.3%",
"02","Alaska","02195","PETERSBURG CENSUS AREA","2021","19.9%","","(16.4% - 23.6%)","16.4%","23.6%",
"02","Alaska","02198","PRINCE OF WALES-HYDER CENSUS AREA","2019","19.4%","","(18.7% - 20.2%)","18.7%","20.2%",
"02","Alaska","02198","PRINCE OF WALES-HYDER CENSUS AREA","2020","18.1%","","(17.4% - 18.9%)","17.4%","18.9%",
"02","Alaska","02198","PRINCE OF WALES-HYDER CENSUS AREA","2021","20.1%","","(16.4% - 24.0%)","16.4%","24.0%",
"02","Alaska","02220","Sitka","2019","16.7%","","(15.9% - 17.6%)","15.9%","17.6%",
"02","Alaska","02220","Sitka","2020","16.3%","","(15.5% - 17.1%)","15.5%","17.1%",
"02","Alaska","02220","Sitka","2021","18.7%","","(15.4% - 22.3%)","15.4%","22.3%",
"02","Alaska","02230","SKAGWAY MUNICIPALITY","2019","17.9%","","(16.8% - 18.9%)","16.8%","18.9%",
"02","Alaska","02230","SKAGWAY MUNICIPALITY","2020","17.3%","","(16.2% - 18.4%)","16.2%","18.4%",
"02","Alaska","02230","SKAGWAY MUNICIPALITY","2021","20.2%","","(16.5% - 24.3%)","16.5%","24.3%",
"02","Alaska","02240","Southeast Fairbanks","2019","17.9%","","(17.0% - 18.9%)","17.0%","18.9%",
"02","Alaska","02240","Southeast Fairbanks","2020","16.0%","","(15.2% - 16.9%)","15.2%","16.9%",
